127.0.0.1 - - [05/Feb/2024:08:36:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Feb/2024:08:36:45 +0900] "GET /Human2TeamProjectClothes/store.jsp HTTP/1.1" 200 10966
0:0:0:0:0:0:0:1 - - [05/Feb/2024:08:36:45 +0900] "GET /Human2TeamProjectClothes/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:08:36:45 +0900] "GET /Human2TeamProjectClothes/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:08:36:45 +0900] "GET /Human2TeamProjectClothes/image/icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:08:36:45 +0900] "GET /Human2TeamProjectClothes/css/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:08:36:45 +0900] "GET /Human2TeamProjectClothes/css/store.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:08:36:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Feb/2024:08:37:28 +0900] "GET /Human2TeamProjectClothes/store.jsp?selecttype=order HTTP/1.1" 200 10301
0:0:0:0:0:0:0:1 - - [05/Feb/2024:08:37:32 +0900] "GET /Human2TeamProjectClothes/store.jsp?selecttype=item HTTP/1.1" 200 10966
0:0:0:0:0:0:0:1 - - [05/Feb/2024:08:38:10 +0900] "GET /Human2TeamProjectClothes/store.jsp?selecttype=item HTTP/1.1" 200 10966
0:0:0:0:0:0:0:1 - - [05/Feb/2024:08:38:12 +0900] "GET /Human2TeamProjectClothes/store.jsp?selecttype=item HTTP/1.1" 200 10966
0:0:0:0:0:0:0:1 - - [05/Feb/2024:08:38:12 +0900] "GET /Human2TeamProjectClothes/image/icons.png HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [05/Feb/2024:08:38:12 +0900] "GET /Human2TeamProjectClothes/css/header.css HTTP/1.1" 200 1135
0:0:0:0:0:0:0:1 - - [05/Feb/2024:08:38:12 +0900] "GET /Human2TeamProjectClothes/css/menu.css HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [05/Feb/2024:08:38:12 +0900] "GET /Human2TeamProjectClothes/css/reset.css HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [05/Feb/2024:08:38:12 +0900] "GET /Human2TeamProjectClothes/css/store.css HTTP/1.1" 200 3493
0:0:0:0:0:0:0:1 - - [05/Feb/2024:08:38:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Feb/2024:08:38:14 +0900] "GET /Human2TeamProjectClothes/store.jsp?selecttype=item HTTP/1.1" 200 10966
0:0:0:0:0:0:0:1 - - [05/Feb/2024:08:38:14 +0900] "GET /Human2TeamProjectClothes/css/store.css HTTP/1.1" 200 3493
0:0:0:0:0:0:0:1 - - [05/Feb/2024:08:38:14 +0900] "GET /Human2TeamProjectClothes/css/reset.css HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [05/Feb/2024:08:38:14 +0900] "GET /Human2TeamProjectClothes/css/header.css HTTP/1.1" 200 1135
0:0:0:0:0:0:0:1 - - [05/Feb/2024:08:38:14 +0900] "GET /Human2TeamProjectClothes/image/icons.png HTTP/1.1" 200 1092
