127.0.0.1 - - [03/Apr/2024:09:25:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:25:18 +0900] "GET /starbucks-notice/ HTTP/1.1" 200 14981
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:25:18 +0900] "GET /starbucks-notice/js/jquery-3.7.1.min.js HTTP/1.1" 200 87535
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:25:18 +0900] "GET /starbucks-notice/css/reset.css HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:25:18 +0900] "GET /starbucks-notice/css/main.css HTTP/1.1" 200 12352
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:25:18 +0900] "GET /starbucks-notice/images/starbucks_logo.png HTTP/1.1" 200 9826
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:25:18 +0900] "GET /starbucks-notice/images/badge1.jpg HTTP/1.1" 200 40830
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:25:18 +0900] "GET /starbucks-notice/images/badge2.jpg HTTP/1.1" 200 20107
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:25:18 +0900] "GET /starbucks-notice/images/visual_title.png HTTP/1.1" 200 27314
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:25:18 +0900] "GET /starbucks-notice/images/visual_cup1.png HTTP/1.1" 200 148797
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:25:18 +0900] "GET /starbucks-notice/js/main.js HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:25:18 +0900] "GET /starbucks-notice/images/visual_cup1_text.png HTTP/1.1" 200 4096
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:25:18 +0900] "GET /starbucks-notice/images/visual_cup2.png HTTP/1.1" 200 174589
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:25:18 +0900] "GET /starbucks-notice/images/visual_cup2_text.png HTTP/1.1" 200 8814
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:25:18 +0900] "GET /starbucks-notice/images/visual_spoon.png HTTP/1.1" 200 108619
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:25:18 +0900] "GET /starbucks-notice/images/promotion_slide1.jpg HTTP/1.1" 200 38500
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:25:18 +0900] "GET /starbucks-notice/images/promotion_slide2.jpg HTTP/1.1" 200 42864
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:25:18 +0900] "GET /starbucks-notice/images/promotion_slide3.jpg HTTP/1.1" 200 66578
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:25:18 +0900] "GET /starbucks-notice/images/promotion_slide4.jpg HTTP/1.1" 200 38790
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:25:18 +0900] "GET /starbucks-notice/images/promotion_slide5.jpg HTTP/1.1" 200 37851
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:25:18 +0900] "GET /starbucks-notice/images/visual_bg.jpg HTTP/1.1" 200 104205
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:25:19 +0900] "GET /starbucks-notice/images/favicon.ico HTTP/1.1" 200 34494
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:26:23 +0900] "GET /starbucks-notice/images/main_menu_pattern.jpg HTTP/1.1" 200 12881
0:0:0:0:0:0:0:1 - - [03/Apr/2024:11:26:52 +0900] "GET /starbucks-notice/ HTTP/1.1" 200 14981
0:0:0:0:0:0:0:1 - - [03/Apr/2024:11:26:52 +0900] "GET /starbucks-notice/css/reset.css HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [03/Apr/2024:11:26:52 +0900] "GET /starbucks-notice/css/main.css HTTP/1.1" 200 12352
0:0:0:0:0:0:0:1 - - [03/Apr/2024:11:26:52 +0900] "GET /starbucks-notice/images/favicon.ico HTTP/1.1" 200 34494
