127.0.0.1 - - [11/Mar/2024:08:35:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Mar/2024:08:35:39 +0900] "GET /Human2TeamProjectClothes/ HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [11/Mar/2024:08:35:39 +0900] "GET /Human2TeamProjectClothes/js/jquery-3.7.1.min.js HTTP/1.1" 200 87535
0:0:0:0:0:0:0:1 - - [11/Mar/2024:08:35:39 +0900] "GET /Human2TeamProjectClothes/css/reset.css HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [11/Mar/2024:08:35:39 +0900] "GET /Human2TeamProjectClothes/css/login.css HTTP/1.1" 200 3831
0:0:0:0:0:0:0:1 - - [11/Mar/2024:08:35:39 +0900] "GET /Human2TeamProjectClothes/js/login.js HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [11/Mar/2024:08:35:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Mar/2024:08:36:15 +0900] "POST /Human2TeamProjectClothes/login_form.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [11/Mar/2024:08:36:16 +0900] "GET /Human2TeamProjectClothes/main.jsp HTTP/1.1" 200 8466
0:0:0:0:0:0:0:1 - - [11/Mar/2024:08:36:16 +0900] "GET /Human2TeamProjectClothes/image/icons.png HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [11/Mar/2024:08:36:16 +0900] "GET /Human2TeamProjectClothes/css/index.css HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [11/Mar/2024:08:36:16 +0900] "GET /Human2TeamProjectClothes/css/header.css HTTP/1.1" 200 2171
0:0:0:0:0:0:0:1 - - [11/Mar/2024:08:36:16 +0900] "GET /Human2TeamProjectClothes/js/chart.js HTTP/1.1" 200 1099
0:0:0:0:0:0:0:1 - - [11/Mar/2024:08:36:16 +0900] "GET /Human2TeamProjectClothes/image/logo.png HTTP/1.1" 200 7011
0:0:0:0:0:0:0:1 - - [11/Mar/2024:08:36:16 +0900] "GET /Human2TeamProjectClothes/css/menu.css HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [11/Mar/2024:08:41:33 +0900] "GET /Human2TeamProjectClothes/main.jsp HTTP/1.1" 200 8466
0:0:0:0:0:0:0:1 - - [11/Mar/2024:08:41:37 +0900] "GET /Human2TeamProjectClothes/main.jsp?year=2015 HTTP/1.1" 200 8427
0:0:0:0:0:0:0:1 - - [11/Mar/2024:08:41:44 +0900] "GET /Human2TeamProjectClothes/store.jsp HTTP/1.1" 200 15708
0:0:0:0:0:0:0:1 - - [11/Mar/2024:08:41:44 +0900] "GET /Human2TeamProjectClothes/css/store.css HTTP/1.1" 200 4378
0:0:0:0:0:0:0:1 - - [11/Mar/2024:08:43:17 +0900] "GET /Human2TeamProjectClothes/inventory.jsp HTTP/1.1" 200 9896
0:0:0:0:0:0:0:1 - - [11/Mar/2024:08:43:17 +0900] "GET /Human2TeamProjectClothes/css/inventory.css HTTP/1.1" 200 4152
0:0:0:0:0:0:0:1 - - [11/Mar/2024:08:43:20 +0900] "GET /Human2TeamProjectClothes/store.jsp HTTP/1.1" 200 15708
0:0:0:0:0:0:0:1 - - [11/Mar/2024:08:43:22 +0900] "GET /Human2TeamProjectClothes/inventory.jsp HTTP/1.1" 200 9896
0:0:0:0:0:0:0:1 - - [11/Mar/2024:08:43:40 +0900] "GET /Human2TeamProjectClothes/inventory2.jsp HTTP/1.1" 200 14329
